Ov,T,S,Sv
5.0,Over 5. no runs. Bowler: Michael Neser. South Australia: 18/1(rr 3.60),End of over,
5.1,"Mark Steketee to Daniel Drew. Length ball, working, Played to mid wicket for 2 runs, overthrow by Clayton.",Two runs,2
5.2,"Mark Steketee to Daniel Drew. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
5.3,"Mark Steketee to Daniel Drew. Half volley, glancing, hit pad for no runs, fielded by Peirson.",Dot ball,0
5.4,"Mark Steketee to Daniel Drew. Back of a length, glancing, hit pad to short fine leg for 1 run.",Leg bye,lb
5.5,"Mark Steketee to Henry Hunt. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
5.6,"Mark Steketee to Henry Hunt. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
6.0,Over 6. 3 runs. Bowler: Mark Steketee. South Australia: 21/1(rr 3.50),End of over,
6.1,"Michael Neser to Daniel Drew. Length ball, glancing, Played to fine leg for 1 run.",One run,1
6.2,"Michael Neser to Henry Hunt. Length ball, defending, Played to silly mid off for no runs.",Dot ball,0
6.3,"Michael Neser to Henry Hunt. Length ball, pushing, Played to short extra cover for no runs.",Dot ball,0
6.4,"Michael Neser to Henry Hunt. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
6.5,"Michael Neser to Henry Hunt. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
6.6,"Michael Neser to Henry Hunt. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
7.0,Over 7. 1 run. Bowler: Michael Neser. South Australia: 22/1(rr 3.14),End of over,
7.1,"Mark Steketee to Daniel Drew. Length ball, defending, Played to silly point for no runs.",Dot ball,0
7.2,"APPEAL! Mark Steketee to Daniel Drew. Length ball, defending, hit pad to gully for no runs, appeal made for L.B.W.",Dot ball,0
7.2,"No ball Mark Steketee to Daniel Drew. Half volley, defending, Played back to bowler and it was a no ball.",No ball,nb
7.3,"Mark Steketee to Daniel Drew. Back of a length, cutting, Played to backward point for no runs.",Dot ball,0
7.4,"Mark Steketee to Daniel Drew. Half volley, pushing, Played to extra cover for 1 run.",One run,1
7.5,"Mark Steketee to Henry Hunt. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
7.6,"Mark Steketee to Henry Hunt. Length ball, defending, Played to silly mid on for no runs.",Dot ball,0
8.0,Over 8. 2 runs. Bowler: Mark Steketee. South Australia: 24/1(rr 3.00),End of over,
8.1,"Michael Neser to Daniel Drew. Length ball, pushing, Played to short mid wicket for 1 run.",One run,1
8.2,"Michael Neser to Henry Hunt. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
8.3,"Michael Neser to Henry Hunt. Length ball, defending, Played to silly mid on for no runs.",Dot ball,0
8.4,"Michael Neser to Henry Hunt. Length ball, Leave, for no runs, fielded by Peirson.",Dot ball,0
8.5,"Michael Neser to Henry Hunt. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
8.6,"Michael Neser to Henry Hunt. Back of a length, defending, Played to silly mid on for 1 run.",One run,1
9.0,Over 9. 2 runs. Bowler: Michael Neser. South Australia: 26/1(rr 2.89),End of over,
9.1,"Jack Wildermuth to Henry Hunt. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
9.2,"Jack Wildermuth to Henry Hunt. Length ball, defending, Played to silly point for no runs.",Dot ball,0
9.3,"Jack Wildermuth to Henry Hunt. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
9.4,"Jack Wildermuth to Henry Hunt. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
9.5,"Jack Wildermuth to Henry Hunt. Back of a length, working, Played to short mid wicket for 1 run.",One run,1
9.6,"Jack Wildermuth to Daniel Drew. Back of a length, defending, Played back to bowler for no runs.",Dot ball,0
10.0,Over 10. 1 run. Bowler: Jack Wildermuth. South Australia: 27/1(rr 2.70),End of over,
10.1,"Xavier Bartlett to Henry Hunt. Half volley, pushing, Played back to bowler for no runs.",Dot ball,0
10.2,"Xavier Bartlett to Henry Hunt. Length ball, defending, Played to silly mid on for no runs.",Dot ball,0
10.3,"Xavier Bartlett to Henry Hunt. Length ball, defending, Played to silly mid on for no runs.",Dot ball,0
10.4,"Xavier Bartlett to Henry Hunt. Length ball, defending, Edged to short leg for no runs.",Dot ball,0
10.5,"FOUR! Xavier Bartlett to Henry Hunt. Length ball, defending, Edged past third man for 4 runs.",Four runs,4
10.6,"Xavier Bartlett to Henry Hunt. Half volley, working, Played to short mid wicket for no runs.",Dot ball,0
11.0,Over 11. 4 runs. Bowler: Xavier Bartlett. South Australia: 31/1(rr 2.82),End of over,
11.1,"Jack Wildermuth to Daniel Drew. Length ball, Leave, for no runs, fielded by Peirson.",Dot ball,0
11.2,"Jack Wildermuth to Daniel Drew. Back of a length, working, Played to short mid wicket for no runs.",Dot ball,0
11.2,"No ball Jack Wildermuth to Daniel Drew. Half volley, Leave, and it was a no ball, fielded by Peirson.",No ball,nb
11.3,"Jack Wildermuth to Daniel Drew. Length ball, glancing, Played to fine leg for 1 run.",One run,1
11.4,"Jack Wildermuth to Henry Hunt. Half volley, defending, Played to silly mid off for no runs.",Dot ball,0
11.5,"Jack Wildermuth to Henry Hunt. Half volley, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
11.6,"Jack Wildermuth to Henry Hunt. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
12.0,Over 12. 2 runs. Bowler: Jack Wildermuth. South Australia: 33/1(rr 2.75),End of over,
12.1,"Xavier Bartlett to Daniel Drew. Back of a length, pushing, Played to silly mid on for no runs.",Dot ball,0
12.2,"Xavier Bartlett to Daniel Drew. Length ball, Leave, for no runs, fielded by Peirson.",Dot ball,0
12.3,"Xavier Bartlett to Daniel Drew. Length ball, defending, Played to silly mid on for no runs.",Dot ball,0
12.4,"Xavier Bartlett to Daniel Drew. Short, Leave, for no runs, fielded by Peirson.",Dot ball,0
12.5,"Xavier Bartlett to Daniel Drew. Half volley, Leave, for no runs, fielded by Peirson.",Dot ball,0
12.6,"Xavier Bartlett to Daniel Drew. Back of a length, defending, Played to silly mid on for no runs.",Dot ball,0
13.0,Over 13. no runs. Bowler: Xavier Bartlett. South Australia: 33/1(rr 2.54),End of over,
13.1,"Jack Wildermuth to Henry Hunt. Length ball, defending, Played to point for no runs.",Dot ball,0
13.2,"Jack Wildermuth to Henry Hunt. Back of a length, defending, missed for no runs, fielded by Peirson.",Dot ball,0
13.3,"OUT! Caught. Jack Wildermuth to Henry Hunt. Half volley, driving, Edged to second slip, caught by Burns.",Wicket,W
13.4,"Jack Wildermuth to Nathan McSweeney. Back of a length, defending, Played to silly mid on for no runs.",Dot ball,0
13.5,"Jack Wildermuth to Nathan McSweeney. Half volley, Leave, for no runs, fielded by Peirson.",Dot ball,0
13.6,"Jack Wildermuth to Nathan McSweeney. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
14.0,Over 14. no runs. Bowler: Jack Wildermuth. South Australia: 33/2(rr 2.36),End of over,
14.1,"Xavier Bartlett to Daniel Drew. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
14.2,"OUT! Caught. Xavier Bartlett to Daniel Drew. Length ball, defending, Edged to first slip, caught by Bryant.",Wicket,W
14.3,"Xavier Bartlett to Jake Lehmann. Back of a length, glancing, hit pad to fine leg for 1 run.",Leg bye,lb
14.4,"Xavier Bartlett to Nathan McSweeney. Length ball, defending, Edged to short leg for no runs.",Dot ball,0
14.5,"Xavier Bartlett to Nathan McSweeney. Length ball, Leave, for no runs, fielded by Peirson.",Dot ball,0
14.6,"Xavier Bartlett to Nathan McSweeney. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
15.0,Over 15. 1 run. Bowler: Xavier Bartlett. South Australia: 34/3(rr 2.27),End of over,
15.1,"Jack Wildermuth to Jake Lehmann. Length ball, glancing, Played to fine leg for 1 run.",One run,1
15.2,"Jack Wildermuth to Nathan McSweeney. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
15.3,"Jack Wildermuth to Nathan McSweeney. Length ball, defending, Played to silly mid on for no runs.",Dot ball,0
15.4,"Jack Wildermuth to Nathan McSweeney. Length ball, defending, Played to silly mid off for no runs.",Dot ball,0
15.5,"Jack Wildermuth to Nathan McSweeney. Back of a length, working, Edged to short extra cover for no runs.",Dot ball,0
15.6,"Jack Wildermuth to Nathan McSweeney. Length ball, Leave, for no runs, fielded by Peirson.",Dot ball,0
16.0,Over 16. 1 run. Bowler: Jack Wildermuth. South Australia: 35/3(rr 2.19),End of over,
16.1,"Xavier Bartlett to Jake Lehmann. Length ball, working, Played to square leg for no runs.",Dot ball,0
16.2,"Xavier Bartlett to Jake Lehmann. Length ball, defending, Edged for no runs, fielded by Peirson, dropped catch by Peirson.",Dot ball,0
16.3,"Xavier Bartlett to Jake Lehmann. Length ball, defending, Edged to short mid wicket for no runs.",Dot ball,0
16.4,"Xavier Bartlett to Jake Lehmann. Half volley, driving, mis-timed to long on for 3 runs.",Three runs,3
16.5,"Xavier Bartlett to Nathan McSweeney. Back of a length, glancing, Played to short fine leg for 1 run.",One run,1
16.6,"Xavier Bartlett to Jake Lehmann. Length ball, glancing, Played to fine leg for 1 run.",One run,1
17.0,Over 17. 5 runs. Bowler: Xavier Bartlett. South Australia: 40/3(rr 2.35),End of over,
17.1,"FOUR! Michael Neser to Jake Lehmann. Back of a length, cutting, Hit Hard past deep point for 4 runs.",Four runs,4
17.2,"FOUR! Michael Neser to Jake Lehmann. Half volley, driving, Hit Hard past long off for 4 runs.",Four runs,4
17.3,"Michael Neser to Jake Lehmann. Half volley, driving, Played to short extra cover for no runs.",Dot ball,0
17.4,"Michael Neser to Jake Lehmann. Short, hooking, Played to fine leg for 1 run.",One run,1
17.5,"Michael Neser to Nathan McSweeney. Length ball, defending, Played to silly mid on for no runs.",Dot ball,0
17.6,"Michael Neser to Nathan McSweeney. Length ball, Leave, for no runs, fielded by Peirson.",Dot ball,0
18.0,Over 18. 9 runs. Bowler: Michael Neser. South Australia: 49/3(rr 2.72),End of over,
18.1,"Xavier Bartlett to Jake Lehmann. Back of a length, cutting, Played to backward point for no runs.",Dot ball,0
18.2,"Xavier Bartlett to Jake Lehmann. Half volley, Leave, for no runs, fielded by Peirson.",Dot ball,0
18.3,"Xavier Bartlett to Jake Lehmann. Length ball, Leave, for no runs, fielded by Peirson.",Dot ball,0
18.4,"FOUR! Xavier Bartlett to Jake Lehmann. Back of a length, pulling, Hit Hard past deep mid wicket for 4 runs.",Four runs,4
18.5,"Xavier Bartlett to Jake Lehmann. Length ball, Leave, for no runs, fielded by Peirson.",Dot ball,0
18.6,"Xavier Bartlett to Jake Lehmann. Back of a length, dropped, Played to silly point for 1 run.",One run,1
19.0,Over 19. 5 runs. Bowler: Xavier Bartlett. South Australia: 54/3(rr 2.84),End of over,
19.1,"FOUR! Michael Neser to Jake Lehmann. Short, hooking, Edged past fine leg for 4 runs.",Four runs,4
19.2,"FOUR! Michael Neser to Jake Lehmann. Half volley, driving, Hit Hard past deep cover for 4 runs.",Four runs,4
19.3,"Michael Neser to Jake Lehmann. Length ball, defending, Played to silly mid off for no runs.",Dot ball,0
19.4,"Michael Neser to Jake Lehmann. Back of a length, pulling, Edged to silly point for no runs.",Dot ball,0
19.5,"Michael Neser to Jake Lehmann. Length ball, defending, Played to silly mid off for no runs.",Dot ball,0
19.6,"Michael Neser to Jake Lehmann. Back of a length, pulling, Hit Hard to deep mid wicket for 1 run.",One run,1
20.0,Over 20. 9 runs. Bowler: Michael Neser. South Australia: 63/3(rr 3.15),End of over,
20.1,"Xavier Bartlett to Jake Lehmann. Length ball, cutting, Played to backward point for no runs.",Dot ball,0
20.2,"Xavier Bartlett to Jake Lehmann. Length ball, Leave, for no runs, fielded by Peirson.",Dot ball,0
20.3,"Xavier Bartlett to Jake Lehmann. Half volley, driving, mis-timed back to bowler for no runs.",Dot ball,0
20.4,"Xavier Bartlett to Jake Lehmann. Length ball, pushing, Played to silly mid off for no runs.",Dot ball,0
20.5,"Xavier Bartlett to Jake Lehmann. Half volley, driving, Played to silly mid on for no runs.",Dot ball,0
20.6,"FOUR! Xavier Bartlett to Jake Lehmann. Back of a length, cutting, Played in the air uncontrolled past deep backward point for 4 runs.",Four runs,4
21.0,Over 21. 4 runs. Bowler: Xavier Bartlett. South Australia: 67/3(rr 3.19),End of over,
21.1,"Mark Steketee to Nathan McSweeney. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
21.2,"Mark Steketee to Nathan McSweeney. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
21.3,"Mark Steketee to Nathan McSweeney. Length ball, defending, Played to silly mid on for no runs.",Dot ball,0
21.4,"Mark Steketee to Nathan McSweeney. Half volley, glancing, Played to deep backward square leg for 2 runs.",Two runs,2
21.5,"Mark Steketee to Nathan McSweeney. Length ball, Leave, for no runs, fielded by Peirson.",Dot ball,0
21.6,"Mark Steketee to Nathan McSweeney. Back of a length, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
22.0,Over 22. 2 runs. Bowler: Mark Steketee. South Australia: 69/3(rr 3.14),End of over,
22.1,"Jack Wildermuth to Jake Lehmann. Length ball, pushing, Played to point for 1 run.",One run,1
22.2,"Jack Wildermuth to Nathan McSweeney. Length ball, Leave, for no runs, fielded by Peirson.",Dot ball,0
22.3,"Jack Wildermuth to Nathan McSweeney. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
22.4,"Jack Wildermuth to Nathan McSweeney. Length ball, defending, Played to silly mid on for no runs.",Dot ball,0
22.5,"Jack Wildermuth to Nathan McSweeney. Length ball, defending, Played to silly mid on for no runs.",Dot ball,0
22.5,"No ball Jack Wildermuth to Nathan McSweeney. Half volley, defending, Played to short extra cover and it was a no ball.",No ball,nb
22.6,"Jack Wildermuth to Nathan McSweeney. Back of a length, working, Played to short mid wicket for no runs.",Dot ball,0
23.0,Over 23. 2 runs. Bowler: Jack Wildermuth. South Australia: 71/3(rr 3.09),End of over,
23.1,"Mark Steketee to Jake Lehmann. Back of a length, working, Played to short mid wicket for 1 run.",One run,1
23.2,"Mark Steketee to Nathan McSweeney. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
23.3,"Mark Steketee to Nathan McSweeney. Half volley, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
23.4,"Mark Steketee to Nathan McSweeney. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
23.5,"Mark Steketee to Nathan McSweeney. Half volley, driving, Played to point for no runs.",Dot ball,0
23.6,"Mark Steketee to Nathan McSweeney. Length ball, defending, Played to silly mid on for no runs.",Dot ball,0
24.0,Over 24. 1 run. Bowler: Mark Steketee. South Australia: 72/3(rr 3.00),End of over,
24.1,"Jack Wildermuth to Jake Lehmann. Length ball, working, Played to deep backward square leg for 1 run.",One run,1
24.2,"Jack Wildermuth to Nathan McSweeney. Length ball, Leave, for no runs, fielded by Peirson.",Dot ball,0
24.3,"Jack Wildermuth to Nathan McSweeney. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
24.4,"Jack Wildermuth to Nathan McSweeney. Length ball, defending, Played to silly mid on for no runs.",Dot ball,0
24.5,"Jack Wildermuth to Nathan McSweeney. Length ball, Leave, for no runs, fielded by Peirson.",Dot ball,0
24.6,"Jack Wildermuth to Nathan McSweeney. Length ball, defending, Played to silly point for no runs.",Dot ball,0
25.0,Over 25. 1 run. Bowler: Jack Wildermuth. South Australia: 73/3(rr 2.92),End of over,
25.1,"FOUR! Mark Steketee to Jake Lehmann. Back of a length, pulling, Hit Hard past deep mid wicket for 4 runs.",Four runs,4
25.2,"Mark Steketee to Nathan McSweeney. Length ball, defending, Played to silly mid on for no runs.",Dot ball,0
25.2,"No ball Mark Steketee to Jake Lehmann. Short, hooking, Played to deep backward square leg and it was a no ball.",No ball,nb
25.3,"Mark Steketee to Nathan McSweeney. Length ball, working, hit pad to short leg for no runs.",Dot ball,0
25.4,"Mark Steketee to Nathan McSweeney. Length ball, defending, Played to silly mid on for no runs.",Dot ball,0
25.5,"Mark Steketee to Nathan McSweeney. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
25.6,"Mark Steketee to Nathan McSweeney. Back of a length, defending, Played to short leg for no runs.",Dot ball,0
26.0,Over 26. 6 runs. Bowler: Mark Steketee. South Australia: 79/3(rr 3.04),End of over,
26.1,"Jack Wildermuth to Jake Lehmann. Short, Leave, for no runs, fielded by Peirson.",Dot ball,0
26.2,"Jack Wildermuth to Jake Lehmann. Yorker, pushing, Played to silly mid on for no runs.",Dot ball,0
26.3,"Jack Wildermuth to Jake Lehmann. Length ball, glancing, Played to short fine leg for 1 run.",One run,1
26.4,"Jack Wildermuth to Nathan McSweeney. Back of a length, defending, Played back to bowler for no runs.",Dot ball,0
26.5,"Jack Wildermuth to Nathan McSweeney. Half volley, working, Played to deep mid wicket for 2 runs.",Two runs,2
26.6,"No ball Jack Wildermuth to Nathan McSweeney. Length ball, defending, Edged to silly point and it was a no ball.",No ball,nb
26.6,"Jack Wildermuth to Nathan McSweeney. Length ball, defending, Played to silly mid off for no runs.",Dot ball,0
27.0,Over 27. 4 runs. Bowler: Jack Wildermuth. South Australia: 83/3(rr 3.07),End of over,
27.1,"Mark Steketee to Jake Lehmann. Length ball, defending, Played to short extra cover for no runs.",Dot ball,0
27.2,"Mark Steketee to Jake Lehmann. Length ball, defending, Played to short extra cover for no runs.",Dot ball,0
27.3,"Mark Steketee to Jake Lehmann. Half volley, pushing, Played back to bowler for no runs.",Dot ball,0
27.4,"Mark Steketee to Jake Lehmann. Length ball, working, Played to backward square leg for 1 run.",One run,1
27.5,"Mark Steketee to Nathan McSweeney. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
27.6,"Mark Steketee to Nathan McSweeney. Length ball, defending, Played to silly point for no runs.",Dot ball,0
28.0,Over 28. 1 run. Bowler: Mark Steketee. South Australia: 84/3(rr 3.00),End of over,
28.1,"FOUR! Xavier Bartlett to Jake Lehmann. Length ball, driving, Hit Hard past long off for 4 runs.",Four runs,4
28.2,"Xavier Bartlett to Jake Lehmann. Length ball, driving, Edged to silly mid on for no runs.",Dot ball,0
28.3,"Xavier Bartlett to Jake Lehmann. Length ball, cutting, Played to deep backward point for 1 run.",One run,1
28.4,"Xavier Bartlett to Nathan McSweeney. Half volley, working, Played to square leg for no runs.",Dot ball,0
28.5,"Xavier Bartlett to Nathan McSweeney. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
28.6,"Xavier Bartlett to Nathan McSweeney. Length ball, defending, Played to short mid wicket for no runs.",Dot ball,0
29.0,Over 29. 5 runs. Bowler: Xavier Bartlett. South Australia: 89/3(rr 3.07),End of over,
29.1,"FOUR! Mark Steketee to Jake Lehmann. Length ball, driving, Hit Hard past deep extra cover for 4 runs.",Four runs,4
29.2,"Mark Steketee to Jake Lehmann. Half volley, driving, Played to short extra cover for 1 run, mis-fielded by Street.",One run,1
29.3,"Mark Steketee to Nathan McSweeney. Length ball, defending, Played to silly mid off for no runs.",Dot ball,0
29.4,"Mark Steketee to Nathan McSweeney. Back of a length, Leave, for no runs, fielded by Peirson.",Dot ball,0
29.5,"Mark Steketee to Nathan McSweeney. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
29.6,"Mark Steketee to Nathan McSweeney. Length ball, defending, Played to silly mid on for no runs.",Dot ball,0
30.0,Over 30. 5 runs. Bowler: Mark Steketee. South Australia: 94/3(rr 3.13),End of over,
30.1,"Xavier Bartlett to Jake Lehmann. Length ball, Late Cut, Played to deep backward point for 1 run.",One run,1
30.2,"Xavier Bartlett to Nathan McSweeney. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
30.3,"Xavier Bartlett to Nathan McSweeney. Length ball, defending, Played to silly point for no runs.",Dot ball,0
30.4,"Xavier Bartlett to Nathan McSweeney. Back of a length, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
30.5,"Xavier Bartlett to Nathan McSweeney. Half volley, driving, Played to silly mid on for no runs.",Dot ball,0
30.6,"Xavier Bartlett to Nathan McSweeney. Length ball, defending, Played to silly point for no runs.",Dot ball,0
31.0,Over 31. 1 run. Bowler: Xavier Bartlett. South Australia: 95/3(rr 3.06),End of over,
31.1,"FOUR! Mark Steketee to Jake Lehmann. Half volley, driving, Hit Hard past long on for 4 runs.",Four runs,4
31.2,"Mark Steketee to Jake Lehmann. Short, hooking, Played to fine leg for 1 run.",One run,1
31.3,"Mark Steketee to Nathan McSweeney. Half volley, pushing, Played to long off for 3 runs, run save by Heazlett.",Three runs,3
31.4,"Mark Steketee to Jake Lehmann. Short, pulling, Played to deep mid wicket for 1 run.",One run,1
31.5,"Mark Steketee to Nathan McSweeney. Length ball, defending, Played to silly mid on for no runs.",Dot ball,0
31.6,"Mark Steketee to Nathan McSweeney. Back of a length, defending, Played to silly mid on for no runs.",Dot ball,0
32.0,Over 32. 9 runs. Bowler: Mark Steketee. South Australia: 104/3(rr 3.25),End of over,
32.1,"Xavier Bartlett to Jake Lehmann. Back of a length, defending, Played to short leg for no runs.",Dot ball,0
32.2,"Xavier Bartlett to Jake Lehmann. Half volley, driving, Played back to bowler for no runs.",Dot ball,0
32.3,"Xavier Bartlett to Jake Lehmann. Half volley, driving, Played to long off for 3 runs.",Three runs,3
32.4,"Xavier Bartlett to Nathan McSweeney. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
32.5,"Xavier Bartlett to Nathan McSweeney. Length ball, defending, missed for no runs, fielded by Peirson.",Dot ball,0
32.6,"OUT! Caught. Xavier Bartlett to Nathan McSweeney. Length ball, pushing, Edged to gully, caught by Neser.",Wicket,W
33.0,Over 33. 3 runs. Bowler: Xavier Bartlett. South Australia: 107/4(rr 3.24),End of over,
33.1,"Michael Neser to Jake Lehmann. Short, hooking, mis-timed in the air uncontrolled to square leg for 1 run.",One run,1
33.2,"Michael Neser to Liam Scott. Half volley, working, Played to square leg for no runs.",Dot ball,0
33.3,"Michael Neser to Liam Scott. Length ball, defending, Played to silly mid on for no runs.",Dot ball,0
33.4,"OUT! Caught. Michael Neser to Liam Scott. Length ball, defending, Edged, caught by Peirson.",Wicket,W
33.5,"Michael Neser to Harry Nielsen. Length ball, defending, Edged to gully for no runs.",Dot ball,0
33.6,"Michael Neser to Harry Nielsen. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
34.0,Over 34. 1 run. Bowler: Michael Neser. South Australia: 108/5(rr 3.18),End of over,
34.1,"Xavier Bartlett to Jake Lehmann. Short, Leave, for no runs, fielded by Peirson.",Dot ball,0
34.2,"Xavier Bartlett to Jake Lehmann. Short, hooking, mis-timed in the air uncontrolled to fine leg for 1 run.",One run,1
34.3,"Xavier Bartlett to Harry Nielsen. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
34.4,"Xavier Bartlett to Harry Nielsen. Back of a length, working, Played to leg gully for 1 run.",One run,1
34.5,"Xavier Bartlett to Jake Lehmann. Back of a length, pulling, Played to deep backward square leg for 1 run.",One run,1
34.6,"Xavier Bartlett to Harry Nielsen. Length ball, shoulders arms, for no runs, fielded by Peirson.",Dot ball,0
35.0,Over 35. 3 runs. Bowler: Xavier Bartlett. South Australia: 111/5(rr 3.17),End of over,
35.1,"OUT! Caught. Michael Neser to Jake Lehmann. Back of a length, pulling, Played to square leg, caught by Bryant.",Wicket,W
35.2,"Michael Neser to Ben Manenti. Length ball, defending, Played to silly mid off for no runs.",Dot ball,0
35.3,"FOUR! Michael Neser to Ben Manenti. Half volley, driving, Hit Hard past long on for 4 runs.",Four runs,4
